,CODIGO DEP,DEPARTAMENTO,CODIGO MUN,MUNICIPIO,GRUPO DE CULTIVO,SUBGRUP DE CULTIVO,CULTIVO,DESAGREGACION REGIONAL Y/O SISTEMA PRODUCTIVO,YEAR,PERIODO,Area Sembrada (ha),Area Cosechada (ha),Produccion (t),Rendimiento (t/ha),ESTADO FISICO PRODUCCION,NOMBRE CIENTIFICO,CICLO DE CULTIVO
0,5,ANTIOQUIA,5607,RETIRO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,401,170,2380,14,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
1,5,ANTIOQUIA,5679,SANTA BARBARA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,310,300,2250,7.5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
2,5,ANTIOQUIA,5376,LA CEJA,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,200,150,2175,14.5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
3,5,ANTIOQUIA,5490,NECOCLI,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,200,130,2600,20,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
4,5,ANTIOQUIA,5837,TURBO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,199,146,1495,10.24,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
5,5,ANTIOQUIA,5318,GUARNE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,180,120,1680,14,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
6,5,ANTIOQUIA,5148,CARMEN DE VIBORAL,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,150,150,180,1.2,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
7,5,ANTIOQUIA,5467,MONTEBELLO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,139,119,1785,15,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
8,5,ANTIOQUIA,5045,APARTADO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,105,85,680,8,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
9,5,ANTIOQUIA,5002,ABEJORRAL,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,96,83,706,8.5,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
10,5,ANTIOQUIA,5615,RIONEGRO,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,90,90,1080,12,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
11,5,ANTIOQUIA,5674,SAN VICENTE,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,80,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
12,5,ANTIOQUIA,5756,SONSON,FRUTALES,AGUACATE,AGUACATE,AGUACATE,2007,2007,80,0,0,,FRUTO FRESCO,PERSEA AMERICANA MILL.,PERMANENTE
